/ [GET, 404, 127.0.0.1, 2022-03-18 10:37:27.646207, 0.001s, 22B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 12:50:32.813481, 0.001s, 198B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 12:50:33.380165, 0.0011s, 198B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 12:51:06.507157, 0.002s, 198B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 12:51:21.338324, 0.0018s, 198B]
/ [GET, 404, 127.0.0.1, 2022-03-30 12:51:59.850990, 0.0004s, 22B]
/favicon.ico [GET, 404, 127.0.0.1, 2022-03-30 12:51:59.869550, 0.0003s, 22B]
/docs [GET, 200, 127.0.0.1, 2022-03-30 12:52:03.142941, 0.0007s, 964B]
/openapi.json [GET, 200, 127.0.0.1, 2022-03-30 12:52:03.311253, 0.0265s, 8362B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 12:52:33.739069, 0.0039s, 22B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 12:53:29.576897, 0.0014s, 198B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 12:56:19.599660, 0.0027s, 198B]
/docs [GET, 200, 127.0.0.1, 2022-03-30 12:59:02.827333, 0.0005s, 964B]
/openapi.json [GET, 200, 127.0.0.1, 2022-03-30 12:59:02.950401, 0.0241s, 8362B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 12:59:15.013436, 0.0038s, 22B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 13:00:01.650064, 0.0016s, 22B]
/v1/quiz/ [OPTIONS, 200, 127.0.0.1, 2022-03-30 13:01:11.320980, 0.0005s, 2B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 13:01:11.326514, 0.0022s, 198B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 13:02:02.964938, 0.0021s, 198B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 13:02:14.894158, 0.0009s, 198B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 13:05:00.986847, 0.0025s, 22B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 13:05:17.271626, 0.0033s, 190B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 13:05:29.053615, 0.0015s, 93B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 13:05:37.451993, 0.0026s, 22B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 13:06:17.236564, 0.0022s, 6B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 13:06:34.270245, 0.0023s, 190B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 13:08:41.387102, 0.0026s, 356B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 13:09:04.356713, 0.0016s, 356B]
/v1/quiz/ [POST, 422, 127.0.0.1, 2022-03-30 13:09:44.817995, 0.001s, 94B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 13:09:53.928552, 0.0014s, 615B]
/v1/quiz/ [OPTIONS, 200, 127.0.0.1, 2022-03-30 13:14:03.028574, 0.0006s, 2B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 13:14:03.033984, 0.0024s, 609B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:14:57.685092, 0.0039s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:16:07.970512, 0.0036s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:16:17.331861, 0.003s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:17:44.317450, 0.0031s, 31B]
/docs [GET, 200, 127.0.0.1, 2022-03-30 13:19:02.260230, 0.0008s, 964B]
/openapi.json [GET, 200, 127.0.0.1, 2022-03-30 13:19:02.340982, 0.0207s, 8365B]
/v1/diseaseData/global [GET, 200, 127.0.0.1, 2022-03-30 13:19:10.880502, 3.1846s, 174247B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:21:00.486601, 0.0021s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:21:45.464096, 0.0013s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:22:10.233182, 0.0016s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:22:21.047636, 0.0015s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:22:37.980816, 0.0014s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:23:20.379195, 0.0018s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:23:54.231419, 0.0015s, 31B]
/v1/quiz/ [OPTIONS, 200, 127.0.0.1, 2022-03-30 13:24:22.579521, 0.0005s, 2B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 13:24:23.613847, 1.0315s, 9B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 13:24:33.675657, 0.7301s, 9B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 13:24:40.700320, 0.805s, 9B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 13:25:22.553353, 0.7747s, 9B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:25:38.920303, 0.003s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:25:46.079818, 0.002s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:26:06.430951, 0.0017s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:26:47.532881, 0.0023s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:27:00.593957, 0.0021s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:27:07.328884, 0.0019s, 31B]
/v1/quiz/ [POST, 500, 127.0.0.1, 2022-03-30 13:27:26.795794, 0.0019s, 31B]
/v1/quiz/ [POST, 200, 127.0.0.1, 2022-03-30 13:31:44.653610, 1.0108s, 9B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:42:22.291891, 0.0004s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:48:57.220850, 0.0006s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:49:04.184259, 0.0011s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:50:31.936211, 0.0013s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:50:32.839604, 0.0007s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:50:35.060998, 0.0003s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:50:59.233409, 0.0006s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:00.612760, 0.0006s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:03.513612, 0.0006s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:07.118807, 0.0007s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:08.017373, 0.0006s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:10.879702, 0.0016s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:30.130806, 0.0005s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:30.134270, 0.0008s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:39.306115, 0.0013s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:40.016423, 0.0008s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:40.182367, 0.0007s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:52.753838, 0.0006s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:54.932784, 0.0008s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:51:59.518780, 0.0014s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:52:00.167786, 0.0009s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:53:53.838738, 0.0007s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:53:53.841011, 0.0006s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:53:53.844204, 0.0008s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:54:01.150887, 0.0005s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:54:01.151501, 0.0008s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:54:01.156268, 0.0021s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:54:10.504950, 0.0006s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:54:10.505591, 0.0011s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:54:10.880041, 0.0006s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:54:33.853033, 0.0014s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:54:33.853970, 0.0021s, 22B]
/v1/quiz/ [GET, 404, 127.0.0.1, 2022-03-30 13:54:34.237133, 0.0004s, 22B]
/v1/quiz [GET, 404, 127.0.0.1, 2022-03-30 13:55:10.801977, 0.0007s, 22B]
/v1/quiz [GET, 404, 127.0.0.1, 2022-03-30 13:55:32.731520, 0.0007s, 22B]
/favicon.ico [GET, 404, 127.0.0.1, 2022-03-30 13:55:32.755840, 0.0007s, 22B]
/v1/quiz [GET, 404, 127.0.0.1, 2022-03-30 13:55:47.418164, 0.001s, 22B]
/v1/quiz [GET, 200, 127.0.0.1, 2022-03-30 13:56:00.195344, 1.0956s, 87B]
/v1/quiz [GET, 200, 127.0.0.1, 2022-03-30 13:56:06.899440, 0.1165s, 87B]
/v1/quiz [GET, 200, 127.0.0.1, 2022-03-30 13:56:07.315770, 0.1499s, 87B]
/v1/quiz [GET, 200, 127.0.0.1, 2022-03-30 13:56:08.747916, 0.1266s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:10:21.751739, 1.0903s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:10:21.836974, 0.0854s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:10:40.447267, 0.1704s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:11:42.298576, 0.2089s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:11:42.357233, 0.0583s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:12:00.473413, 0.1123s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:12:11.310109, 0.0873s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:13:55.181500, 0.2062s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:13:55.303713, 0.1219s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:14:39.950585, 0.8878s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:15:46.089177, 0.0005s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:15:47.220020, 0.0009s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:16:18.921885, 0.0003s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:17:03.042240, 0.0003s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:17:03.045046, 0.0005s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:17:39.024754, 0.0008s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:17:39.078003, 0.0004s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:17:41.435913, 0.0016s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:17:42.857475, 0.0012s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:18:23.119707, 0.0006s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:18:23.121810, 0.0006s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:18:41.089336, 0.0003s, 51B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:19:19.479542, 1.0848s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:19:40.062150, 0.1101s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:19:56.160305, 0.1379s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:19:56.272342, 0.1117s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:19:57.891517, 0.1113s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:20:22.631399, 0.1887s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:20:22.679270, 0.0473s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:20:24.484611, 0.0665s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:21:02.731105, 0.0511s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:21:02.808260, 0.0766s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:21:06.190584, 0.0629s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:21:17.924458, 0.063s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:21:17.994540, 0.0697s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:21:20.973559, 0.069s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:21:41.162099, 0.0736s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:21:41.281032, 0.1186s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:22:12.513561, 0.0475s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:22:48.531743, 0.1007s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:22:51.962683, 0.0732s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:23:33.526816, 0.1765s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:23:33.589507, 0.0618s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:23:46.988097, 0.1124s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:24:02.270211, 0.0633s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:24:14.424873, 0.1105s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:24:17.138422, 0.0558s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:24:23.882746, 0.0723s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:24:23.963070, 0.08s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:24:26.556152, 0.0723s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:24:49.371623, 0.1221s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:24:49.431560, 0.0596s, 87B]
/v1/quiz [GET, 404, 127.0.0.1, 2022-03-30 14:28:07.101241, 0.0008s, 22B]
/v1/quiz [GET, 404, 127.0.0.1, 2022-03-30 14:28:26.384549, 0.0007s, 22B]
/v1/quiz [GET, 404, 127.0.0.1, 2022-03-30 14:28:35.645951, 0.0006s, 22B]
/v1/quiz [GET, 404, 127.0.0.1, 2022-03-30 14:28:49.700650, 0.0006s, 22B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:28:54.656254, 0.5662s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:28:58.595779, 0.1081s, 87B]
/v1/quiz/getAll [GET, 500, 127.0.0.1, 2022-03-30 14:30:52.299444, 1.7098s, 31B]
/v1/quiz/getAll [GET, 500, 127.0.0.1, 2022-03-30 14:31:12.957973, 0.9475s, 31B]
/v1/quiz/getAll [GET, 500, 127.0.0.1, 2022-03-30 14:31:22.292213, 1.323s, 31B]
/v1/quiz/getAll [GET, 500, 127.0.0.1, 2022-03-30 14:31:45.445091, 0.8651s, 31B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:31:52.688735, 0.8566s, 51B]
/v1/quiz/getAll [GET, 500, 127.0.0.1, 2022-03-30 14:32:28.036563, 1.1249s, 31B]
/v1/quiz/getAll [GET, 500, 127.0.0.1, 2022-03-30 14:33:07.355015, 0.9427s, 31B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:33:17.500489, 0.9743s, 51B]
/v1/quiz/getAll [GET, 500, 127.0.0.1, 2022-03-30 14:33:41.962756, 0.0008s, 31B]
/v1/quiz/getAll [GET, 500, 127.0.0.1, 2022-03-30 14:34:16.654920, 1.7735s, 31B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:34:35.739102, 0.9431s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:35:00.866078, 0.9898s, 87B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:35:21.092328, 1.0981s, 488B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:36:51.194511, 1.1741s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:37:24.581343, 0.0686s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:37:24.659045, 0.0774s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:37:37.668247, 0.1588s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:37:40.170583, 0.102s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:38:10.777011, 0.1181s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:38:10.864451, 0.0871s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:38:13.084738, 0.1114s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:38:39.116134, 0.0641s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:38:39.216491, 0.0999s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 14:38:49.976442, 0.1273s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 16:32:23.527127, 115.4826s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 16:32:23.603708, 0.0728s, 516B]
/v1/quiz/getAll [GET, 200, 127.0.0.1, 2022-03-30 16:32:23.604999, 0.0697s, 516B]
